hv010,hv011,hv012,hv014,hv216,hv270,hv243a,hv244,hv245,hv209,hv208,hv243b,hv206,hv207
4,0,14,5,3,2,yes,yes,52.0,no,no,yes,no,yes
0,0,5,2,2,1,yes,no,,no,no,no,no,no
1,0,5,0,2,1,yes,yes,50.0,no,no,no,no,yes
0,0,7,1,4,0,yes,yes,53.0,no,no,no,no,yes
0,0,6,1,4,0,yes,yes,12.0,no,no,no,no,no
1,1,2,0,2,0,no,no,,no,no,no,no,no
6,0,21,6,6,1,yes,yes,81.0,no,no,yes,no,no
3,0,10,3,3,2,yes,no,,no,no,no,no,no
2,0,9,3,5,1,yes,yes,57.0,no,no,yes,no,no
1,0,7,1,3,2,yes,yes,25.0,no,no,yes,no,no
1,1,3,1,1,1,yes,yes,30.0,no,no,no,no,no
2,0,3,0,2,2,yes,no,,no,no,no,no,no
1,2,5,0,4,1,yes,yes,10.0,no,no,no,no,yes
1,0,7,3,2,1,yes,no,,no,no,no,no,no
3,0,5,0,2,3,yes,no,,no,no,yes,no,yes
1,0,2,0,2,4,yes,no,,yes,no,yes,yes,yes
2,5,10,1,3,4,yes,no,,no,yes,yes,yes,yes
1,1,5,1,4,4,yes,no,,yes,yes,yes,yes,yes
1,0,2,0,1,3,yes,no,,no,no,yes,no,no
2,0,6,2,2,4,yes,no,,no,yes,yes,yes,yes
2,1,5,1,2,4,yes,no,,yes,yes,yes,yes,yes
1,0,8,0,2,3,yes,no,,no,no,no,no,yes
0,2,2,0,1,3,yes,no,,no,no,yes,no,no
2,0,4,1,3,4,yes,no,,yes,yes,yes,yes,yes
